brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings
Roadster,Men Cotton Straight Fit Jeans,719,1999,0.64,3.5,56
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
Roadster,Men Bleached Cotton Jeans,805,2599,0.69,3.8,9
glitchez,Men Low-Distress WideLeg Jeans,703,1599,0.56,2.9,18
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
Roadster,Men Slim Fit Jeans,584,1299,0.55,3.8,980
Roadster,Men Straight Fit Jeans,599,1499,0.6,3.9,84
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
Thomas Scott,Men Relaxed Fit Cotton Jeans,979,2599,16.2,3.8,179
Roadster,Men Relaxed Fit Cotton Jeans,799,2499,0.68,3.9,105
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
Roadster,Men Bootcut Jeans,755,2799,0.73,3.5,80
Mast & Harbour,Men Regular Fit Mid-Rise Jeans,773,1799,0.57,3.5,80
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
WROGN,Men Stretchable Jeans,874,2499,0.65,3.9,23
Urbano Fashion,Men Relaxed Fit Jeans,1169,2599,0.55,3.5,28
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.5,28
Roadster,Men Mid Rise Cotton Jeans,727,2599,0.72,3.2,152
Bene Kleed,Men Straight Fit Jeans,974,2499,0.61,4,303
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
WROGN,Men Anti Fit Cargo Jeans,1049,2999,0.65,3.2,6
Roadster,Men Baggy Fit Cotton Jeans,805,2599,0.69,4,37
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
HERE&NOW,Men Smart Stretchable Jeans,759,1999,12.4,4,355
Roadster,Men Skater Fit Mid-Rise Jeans,782,2699,0.71,4,355
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
HIGHLANDER,Men Relaxed Fit Jeans,883,2599,0.66,3.9,90
Roadster,Men Relaxed Fit Jeans,1101,2899,0.62,3.5,100
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,3.5,100
WROGN,Men Slim Fit Mid-Rise Jeans,804,2299,0.65,4.6,9
HERE&NOW,Men Slim Fit Jeans,749,1499,0.5,3.8,28
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
The Indian Garage Co,Men Straight Fit Jeans,923,2799,0.67,4.2,84
MASCLN SASSAFRAS,Men Mid-Rise Jeans,1199,2999,0.6,4.6,9
Calvin Klein Jeans,Men Slim Fit Jeans,1199,2999,0.6,4.6,9
Roadster,Men Bootcut Jeans,1121,3299,0.66,3.7,245
Stylecast X Kotty,Men Straight Fit Jeans,599,1999,0.7,3.4,149
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130
glitchez,Men Straight Fit Cargo Jeans,791,2199,0.64,3.9,28
Mast & Harbour,Men Relaxed Fit Mid-Rise Jeans,773,1799,0.57,2.8,18
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,2.8,18
WROGN,Men Relaxed Fit Mid-Rise Jeans,1304,2899,0.55,2.8,18
Roadster,Men Baggy Fit Jeans,924,2499,0.63,4.1,38
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31
Mast & Harbour,Men Tapered Fit Jeans,769,2199,0.65,2.7,27
HIGHLANDER,Men Tapered Fit Jeans,1177,3099,0.62,3.9,436
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.9,436
Roadster,Men Relaxed Fit Jeans,1072,2899,0.63,3.4,204
The Indian Garage Co,Men Pure Cotton Jeans,791,2399,0.67,3.9,207
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
Roadster,Men Mid-Rise Relaxed Fit Jeans,560,1699,0.67,4.8,14
WROGN,Men Relaxed Fit Jeans,1385,2199,0.37,4.8,14
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
PARIS HAMILTON,Men Bootcut Jeans,959,1999,0.52,3.5,108
WROGN,Men Pure Cotton Cargo Jeans,1049,2999,0.65,3.7,48
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
PARIS HAMILTON,Men Straight Fit Jeans,799,1999,0.6,4,505
glitchez,Men Carrot Fit Jeans,543,1699,0.68,3.9,71
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
WROGN,Men Slim Fit Jeans,1275,2199,0.42,4.1,92
glitchez,Men Wide Leg Jeans,593,2199,0.73,3.9,97
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
WROGN,Men Stretchable Jeans,1299,2599,0.5,3.4,12
HERE&NOW,Men Straight Fit Jeans,874,2499,0.65,3.4,12
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.4,12
Mast & Harbour,Men Relaxed Fit Jeans,863,2699,0.68,1.7,10
Roadster,Relaxed Fit Mid-Rise Jeans,599,1499,0.6,3.8,12
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
Roadster,Men Stretchable Jeans,805,2599,0.69,3.7,39
HERE&NOW,Men Pure Cotton Baggy Jeans,1349,2999,0.55,4.1,19
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
HERE&NOW,Men Regular Fit Jeans,749,1499,0.5,4.2,29
Roadster,Relaxed Fit Stretchable Jeans,560,1699,0.67,4,8
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
Kook N Keech,Men Relaxed Pure Cotton Jeans,991,3199,0.69,3.5,14
glitchez,Men Loose Fit Jeans,1077,2199,0.51,4.3,22
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4.3,22
glitchez,Men Relaxed Fit Cargo Jeans,665,1799,0.63,4,40
WROGN,Men Relaxed Fit Mid-Rise Jeans,1304,2899,0.55,3.5,11
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
Flying Machine,Men Slim Fit Mid-Rise Jeans,1367,2399,0.43,3.8,29
Stylecast X Kotty,Men Regular Fit Mid-Rise Jeans,499,1999,0.75,3.8,36
Calvin Klein Jeans,Men Slim Fit Jeans,499,1999,0.75,3.8,36
glitchez,Men Baggy Jeans,637,2199,0.71,3.5,46
Kotty,Men Low-Rise Jeans,519,1999,0.74,3.9,284
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130
Playfeel,Men Loose Fit Mid-Rise Jeans,674,2499,0.73,1.7,6
Roadster,Men Slouchy Fit Cargo Jeans,597,2599,0.77,3.7,43
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,3.7,43
Roadster,Men Slim Fit Jeans,629,1399,0.55,3.8,11200
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31
Roadster,Men Bootcut Jeans,759,1899,0.6,4.3,199
Roadster,Men Cargo Styles Jeans,839,2799,0.7,3.5,8
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.5,8
Roadster,Men Straight Fit Jeans,645,1699,0.62,3.4,9
Urbano Fashion,Men Bootcut Light Fade Jeans,1149,2299,0.5,3.9,173
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
Roadster,Men Relaxed Fit Jeans,831,2599,0.68,4.3,20
The Indian Garage Co,Men Bootcut Jeans,979,2449,0.6,4.2,553
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
glitchez,Men Carrot Fit Jeans,713,1699,0.58,4.5,21
Ducati,Men Straight Fit Jeans,1224,3499,0.65,4.3,48
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
Bene Kleed,Men Straight Fit Jeans,896,2299,0.61,4,480
Roadster,Mid Rise Regular Fit Jeans,924,2499,0.63,3.8,67
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
Flying Machine,Men Tapered Fit Jeans,1424,2499,0.43,4.4,7
The Indian Garage Co,Men Slim Fit Jeans,659,1999,0.67,4.1,2100
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
Bene Kleed,Men Baggy Light Fade Jeans,839,2999,0.72,3.9,39
MASTERLY WEFT,Men Straight Fit Jeans,959,1999,0.52,3.9,39
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.9,39
Roadster,Men Relaxed Fit Mid-Rise Jeans,509,1699,0.7,4.4,7
Mast & Harbour,Men Straight Fit Jeans,1169,2599,0.55,4.4,7
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
Roadster,Men Slouchy Fit Jeans,909,2599,0.65,4.1,74
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
Roadster,Men Straight Fit Jeans,743,2399,0.69,4.1,27
WROGN,Men Slim Fit Jeans,1333,2299,0.42,4.5,18
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
Roadster,Straight Fit Stretchable Jeans,526,1699,0.69,3.6,16
WROGN,Men Slim Ankle Fit Jeans,1333,2299,0.42,3.8,30
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
Urbano Fashion,Men Bootcut Jeans,899,1999,0.55,3.8,285
Roadster,Men Skinny Fit Jeans,839,1999,0.58,3.9,65
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,3.9,65
WROGN,Men Anti Loose Fit Jeans,874,2499,0.65,2.1,20
Roadster,Men Cotton Baggy Fit Jeans,867,2799,0.69,2.6,15
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
glitchez,Men Baggy Jeans,559,1999,0.72,3.4,83
PARIS HAMILTON,Men Bootcut Mid-Rise Jeans,939,1999,0.53,3.9,18
Calvin Klein Jeans,Men Slim Fit Jeans,939,1999,0.53,3.9,18
Roadster,Men Baggy Fit Cotton Jeans,701,2599,0.73,3.6,15
glitchez,Men Skinny Fit Jeans,519,1999,0.74,4.5,48
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130
WROGN,Men Straight Fit Jeans,1385,2199,0.37,4,5
Bene Kleed,Men Straight Fit Jeans,974,2499,0.61,4,129
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4,129
Roadster,Men Straight Fit Jeans,740,1899,0.61,3.7,44
glitchez,Men Wide Leg Jeans,703,2199,0.68,3.7,97
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31
Roadster,Men Relaxed Fit Jeans,1199,2999,0.6,3.8,220
glitchez,Men Straight Fit Jeans,579,1999,0.71,4.1,248
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,4.1,248
Roadster,Men Ripped Relaxed Fit Jeans,755,2799,0.73,4,29
SPYKAR,Men Regular Fit Cotton Jeans,1101,2899,0.62,3.5,36
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
Mast & Harbour,Men Slim Fit Mid-Rise Jeans,764,1699,0.55,3.1,36
Roadster,Men Straight Fit Jeans,849,1699,0.5,3.8,50
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
The Indian Garage Co,Men Slim Fit Jeans,659,1999,0.67,4.1,1800
Roadster,Men Straight Fit Jeans,607,1899,0.68,4.3,8
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
Roadster,Men Cotton Straight Fit Jeans,929,2999,0.69,3.6,36
The Indian Garage Co,Men Relaxed Fit Jeans,758,2299,0.67,3.5,137
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
Stylecast X Kotty,Men Regular Fit Mid-Rise Jeans,539,1999,0.73,3.7,54
Roadster,Men Pure Cotton Bootcut Jeans,805,2599,0.69,4.2,41
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
Bene Kleed,Straight Fit Mid-Rise Jeans,974,2499,0.61,3.9,7
Roadster,Men Regular Fit Jeans,849,1699,0.5,4,41
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,4,41
Mast & Harbour,Men Slim Tapered Fit Jeans,827,2299,0.64,3.6,353
Roadster,Men Relaxed Fit Cargo Jeans,1072,2899,0.63,4.1,454
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
Roadster,Men Straight Fit Mid-Rise Jeans,645,1699,0.62,3.5,28
Bene Kleed,Men Straight Fit Jeans,974,2499,0.61,3.9,44
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
glitchez,Men Baggy Fit Jeans,571,2199,0.74,3.8,84
Thomas Scott,Mid-Rise Baggy Cotton Jeans,909,3299,23.9,4,35
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
The Indian Garage Co,Men Cropped Jeans,721,1899,0.62,4.2,1200
Roadster,Men Relaxed Fit Jeans,929,2999,0.69,4.4,59
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4.4,59
glitchez,Men Wide Leg Jeans,659,2199,0.7,3.8,45
me Queen,Men Wide Leg Pure Cotton Jeans,949,1899,0.5,4.3,6
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
glitchez,Men Loose Fit Frayed Jeans,571,2199,0.74,4,52
Dennis Lingo,Men Straight Fit Jeans,999,2799,18,4.1,565
Calvin Klein Jeans,Men Slim Fit Jeans,999,2799,18,4.1,565
glitchez,Men Wide Leg Jeans,659,2199,0.7,3.3,38
SPYKAR,Men Tapered Fit Jeans,1332,3099,0.57,4.1,42
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130
glitchez,Men Low-Distress WideLeg Jeans,703,1599,0.56,3,40
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,3,40
WROGN,Men Straight Stretchable Jeans,1259,1999,0.37,4.1,9
WROGN,Men Bootcut Mid-Rise Jeans,909,2599,0.65,3.3,34
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31
Mast & Harbour,Men Bootcut Fit Cotton Jeans,747,2199,0.66,4.1,25
Roadster,Men Straight Fit Jeans,831,2599,0.68,4,32
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,4,32
WROGN,Men Baggy Pure Cotton Jeans,1295,2699,0.52,3.3,17
Mast & Harbour,Men Slim Fit Stretchable Jeans,791,2199,0.64,3.9,16
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
glitchez,Men Cotton Wide Leg Jeans,735,1599,0.54,3.3,76
Roadster,Men Pure Cotton Cargo Jeans,1259,3599,0.65,3.9,252
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
WROGN,Men Bootcut Jeans,1295,2699,0.52,4,165
Mast & Harbour,Men Bootcut Jeans,747,2199,0.66,3,44
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
Roadster,Men Wide Leg Jeans,805,2599,0.69,3.8,8
glitchez,Men Baggy Loose Fit Jeans,571,2199,0.74,3.9,97
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
Roadster,Light Fade Stretchable Jeans,599,1499,0.6,3.8,92
The Indian Garage Co,Men Skinny Fit Jeans,620,2299,0.73,4.1,301
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
Roadster,Men Relaxed Fit Mid-Rise Jeans,577,1699,0.66,4.6,5
glitchez,Men Straight Fit Jeans,741,1399,0.47,3.7,199
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.7,199
Campus Sutra,Men Regular Fit Denim Jeans,1287,2799,0.54,2.3,54
Roadster,Men Straight Fit Cotton Jeans,949,2499,0.62,3.6,43
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
SPYKAR,Men Slim Fit Low-Rise Jeans,1101,2899,0.62,4,25
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
WROGN,Men Mid-Rise Cargo Jeans,1315,2799,0.53,4,165
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
WROGN,Men Regular Fit Mid-Rise Jeans,979,2799,0.65,4.1,15
Roadster,Light Fade Baggy Jeans,811,2799,0.71,3.2,24
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
glitchez,Men Baggy Fit Jeans,719,1999,0.64,3.8,176
Kook N Keech,Men Pure Cotton Baggy Jeans,991,3199,0.69,4.3,7
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,4.3,7
WROGN,Men Anti Fit Jeans,909,2599,0.65,3.9,32
WROGN,Men Baggy Fit Jeans,1049,2999,0.65,3.8,20
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
Thomas Scott,Men Mid-Rise Jogger Jeans,899,2399,15,3.8,43
Urbano Fashion,Men Relaxed Fit Jeans,1169,2599,0.55,4.1,34
Calvin Klein Jeans,Men Slim Fit Jeans,1169,2599,0.55,4.1,34
glitchez,Men Jeans,615,2199,0.72,3.4,107
Roadster,Men Wide Leg Light Fade Jeans,805,2599,0.69,3.7,51
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130
Nautica,Men Slim Fit Mid-Rise Jeans,985,2899,0.66,4.4,26
me Queen,Men Straight Fit Cargo Styles,949,1899,0.5,3.5,6
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,3.5,6
Roadster,Men Straight Fit Jeans,628,1699,0.63,3.9,32
Urbano Fashion,Men Skinny Fit Cotton Jeans,899,1999,0.55,3.8,398
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31
Roadster,Men Relaxed Fit Cargo Jeans,899,2999,0.7,3.7,18
STUDIO NEXX,Men Mid-Rise Jeans,899,2499,0.64,3.8,6
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.8,6
PARIS HAMILTON,Men Bootcut Jeans,959,1999,0.52,4,267
Roadster,Men Slim Fit Jeans,662,1699,0.61,3.8,1200
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
glitchez,Men Relaxed Pleated Jeans,839,1999,0.58,4.1,25
Roadster,Men Tapered Fit Jeans,701,2699,0.74,3.9,1200
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
Roadster,Men Pure Cotton Cargo Jeans,779,2599,0.7,4.3,86
Roadster,Men Cotton Regular Fit Jeans,753,2599,0.71,3.8,25
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
HERE&NOW,Men Mid Rise Baggy Fit Jeans,927,2899,0.68,3.8,29
Roadster,Relaxed Fit Stretchable  Jeans,519,1299,0.6,4.2,15
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
Mast & Harbour,Men Bootcut Jeans,899,2999,0.7,4.2,24
Mast & Harbour,Printed Baggy Fit Jeans,805,2599,0.69,4.2,19
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
Roadster,Men Straight Fit Jeans,594,1699,0.65,3.8,22
StyleCast x Revolte,Men Wide Leg Jeans,1304,2899,0.55,3.8,131
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.8,131
Powerlook,Men Baggy Fit Jeans,1297,2199,0.41,4.2,777
Cantabil,Men Clean Look Jeans,1259,3599,0.65,4.2,10
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
WROGN,Men Pure Cotton Cargo Jeans,1039,2599,0.6,3.9,42
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
Roadster,Men Cotton Loose Fit Jeans,883,2599,0.66,3,9
Roadster,Light Fade Stretchable Jeans,699,2799,0.75,4,26
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
Roadster,Men Straight Mid-Rise Jeans,628,1699,0.63,3.8,25
glitchez,Men Loose Bootcut Fit Jeans,571,2199,0.74,3.9,78
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
glitchez,Men Light Jogger Jeans,681,2199,0.69,4.6,21
Thomas Scott,Men Tapered Fit Jeans,979,3499,25.2,3.5,81
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,3.5,81
Kook N Keech,Men Straight Pure Cotton Jeans,929,2999,0.69,4.4,24
glitchez,Men Loose Fit Cargo Jeans,1151,2399,0.52,2.3,42
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
Roadster,Men Straight Fit Jeans,645,1699,0.62,3.2,5
Aeropostale,Men Straight Fit Jeans,1259,3499,0.64,4.7,11
Calvin Klein Jeans,Men Slim Fit Jeans,1259,3499,0.64,4.7,11
Roadster,Men Straight Fit Jeans,675,2599,0.74,4.2,26
glitchez,Men Regular Fit Jeans,543,1699,0.68,4.1,76
WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130
SF JEANS by Pantaloons,Men Straight Fit Jeans,1049,1399,0.25,3.8,6
MASTERLY WEFT,Men Jeans,959,1999,0.52,2.1,15
Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,2.1,15
Roadster,Men Straight Fit Jeans,626,1899,0.67,4,64
Roadster,Men Slim Fit Jeans,539,1499,0.64,3.9,1600
Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31
Roadster,Men Cotton Straight Fit Jeans,674,2499,0.73,3.3,493
Mast & Harbour,Men Loose Tapered Fit Jeans,942,2299,0.59,3.3,493
Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,3.3,493
Roadster,Men Straight Fit Jeans,594,1699,0.65,3.3,493
Stylecast X Kotty,Men Regular Fit Cargo Jeans,719,1999,0.64,3.9,78
WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
glitchez,Men Baggy Loose Fit Jeans,703,2199,0.68,4.2,66
Dennis Lingo,Men Relaxed Fit Jeans,1350,3599,22.49,3.8,866
Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
Roadster,Men Loose Crop Cotton Jeans,779,2599,0.7,3.4,18
FCUK,Pure Cotton Tapered Fit Jeans,1199,2999,0.6,4,80
FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
Mast & Harbour,Men Straight Fit Jeans,836,2699,0.69,3.7,29
Hardsoda by The Indian Garage Co,Men Plus Size Jogger,1238,2949,0.58,3.7,29
French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
glitchez,Men Loose Fit Jeans,619,1999,0.69,4.2,26
Roadster,Straight Fit Light Fade Jeans,753,2599,0.71,3.8,19
Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
Playfeel,Men Mid-Rise Baggy Jeans,699,2499,0.72,2.3,34
Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,2.3,34
Roadster,Light Fade Stretchable Jeans,594,1699,0.65,4.5,8
glitchez,Men Korean Baggy Jeans,681,2199,0.69,3.9,89
Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
Kolor Fusion,Men Jeans,999,2499,0.6,3.6,9
WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
Being Human,Men Slim Fit Jeans,1169,2999,0.61,4.2,14
Roadster,Straight Fit Stretchable Jeans,560,1699,0.67,3.4,12
WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
glitchez,Men Loose Bootcut Jeans,615,2199,0.72,3.6,55
Mast & Harbour,Mid-Rise Cargo Styles Jeans,979,2799,0.65,3.6,55
Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
HERE&NOW,Men Straight Fit Jeans,730,1699,0.57,3.5,10
Roadster,Men Straight Fit Jeans,519,1299,0.6,3.5,369
Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,3.5,369
Mast & Harbour,Men Printed Stretchable Jeans,769,2199,0.65,4.1,27
The Indian Garage Co,Men Slim Fit Jeans,758,2299,0.67,4.2,2100
Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
